iter	RMSE
0	73733.42856
1	68581.11308
2	63839.2753
3	59608.19851
4	55776.82489
5	52182.72752
6	49236.81805
7	46543.40707
8	44236.53253
9	42237.5962
10	40406.42432
11	38771.47207
12	37168.28931
13	35926.89178
14	34725.60128
15	33900.81247
16	32815.52502
17	31746.99312
18	30781.37029
19	30047.49426
20	29304.17589
21	28526.65525
22	27844.89542
23	27338.58178
24	26817.44207
25	26254.05972
26	25687.53722
27	25217.12745
28	24796.37362
29	24438.38679
30	24050.04099
31	23673.65752
32	23284.99254
33	23104.22053
34	22774.34359
35	22544.20819
36	22150.98149
37	21966.52133
38	21716.93321
39	21517.29927
40	21257.23806
41	21049.88821
42	20784.97399
43	20554.47288
44	20349.95159
45	20175.70141
46	19969.4869
47	19823.79521
48	19701.09973
49	19525.99279
50	19337.90712
51	19121.01186
52	18974.21074
53	18828.41469
54	18710.02534
55	18542.7949
56	18436.34552
57	18260.58275
58	18144.8037
59	17986.86642
60	17866.62752
61	17711.03513
62	17666.87128
63	17553.21353
64	17525.23514
65	17374.55286
66	17268.31421
67	17165.11041
68	17132.02009
69	17017.33863
70	16857.91359
71	16728.59985
72	16603.09245
73	16529.25928
74	16458.91428
75	16373.38231
76	16267.05362
77	16184.70594
78	16164.55515
79	16031.53454
80	16007.06797
81	15855.05205
82	15810.71405
83	15756.47719
84	15653.41304
85	15558.90681
86	15468.54272
87	15444.9483
88	15335.32326
89	15294.30936
90	15206.71315
91	15117.07745
92	15043.68052
93	14991.71896
94	14907.89644
95	14889.61407
96	14873.60993
97	14855.82972
98	14809.77391
99	14722.02447
100	14651.98997
101	14539.69123
102	14459.37558
103	14449.96816
104	14367.09294
105	14260.00293
106	14159.46398
107	14063.04322
108	13960.03594
109	13888.77287
110	13793.29009
111	13684.25164
112	13596.03317
113	13528.74395
114	13426.37372
115	13349.29117
116	13254.96871
117	13173.99181
118	13094.25328
119	13045.86452
120	13018.70343
121	12994.06867
122	12920.2744
123	12857.54214
124	12759.43422
125	12698.75428
126	12678.95639
127	12601.74342
128	12548.43432
129	12491.36798
130	12444.81356
131	12378.11583
132	12325.67904
133	12219.19164
134	12178.47991
135	12130.23002
136	12088.19022
137	12025.76069
138	11961.20558
139	11903.80131
140	11844.43219
141	11782.84297
142	11729.60515
143	11681.31319
144	11628.07374
145	11576.65555
146	11479.31755
147	11433.76258
148	11364.28109
149	11295.44497
150	11243.13093
151	11186.36216
152	11119.61148
153	11089.96369
154	11041.23861
155	10982.97688
156	10899.04624
157	10845.97046
158	10783.56322
159	10780.50084
160	10756.82019
161	10706.65517
162	10641.50557
163	10562.83757
164	10527.44459
165	10482.33665
166	10463.36315
167	10411.05567
168	10379.42063
169	10330.45573
170	10275.17046
171	10247.32595
172	10184.17465
173	10146.97797
174	10125.41964
175	10108.11721
176	10066.8939
177	9999.474903
178	9947.977613
179	9892.891465
180	9854.812746
181	9776.457308
182	9766.464475
183	9743.532013
184	9698.885679
185	9680.64182
186	9635.989774
187	9612.709519
188	9578.466338
189	9544.90167
190	9492.836411
191	9443.214973
192	9412.32815
193	9410.442539
194	9342.615087
195	9306.142859
196	9254.794075
197	9219.446492
198	9170.097351
199	9120.398055
200	9078.391134
201	9030.666078
202	8988.464184
203	8958.448648
204	8900.737759
205	8856.741695
206	8840.187662
207	8838.145756
208	8794.322861
209	8778.390816
210	8757.656986
211	8745.095474
212	8707.604431
213	8703.253631
214	8652.093432
215	8649.136439
216	8607.970487
217	8559.051522
218	8516.504912
219	8497.954185
220	8462.397167
221	8438.709364
222	8413.948226
223	8391.085453
224	8344.32776
225	8305.877399
226	8268.597286
227	8222.641462
228	8201.822766
229	8153.520029
230	8109.116061
231	8077.101608
232	8045.108936
233	8013.348058
234	7980.927457
235	7948.438019
236	7908.085839
237	7900.342303
238	7881.6112
239	7864.216655
240	7817.760439
241	7783.936388
242	7774.008055
243	7729.221809
244	7699.464879
245	7660.234615
246	7606.526415
247	7573.267557
248	7541.800223
249	7502.094708
250	7486.574941
251	7460.95347
252	7437.547236
253	7425.420577
254	7368.601807
255	7342.816887
256	7323.052478
257	7308.101453
258	7265.481306
259	7241.297547
260	7202.546447
261	7181.368467
262	7144.221766
263	7113.256494
264	7069.567716
265	7017.311839
266	6977.732682
267	6954.828191
268	6934.238899
269	6887.907612
270	6860.564934
271	6830.532435
272	6796.043196
273	6761.944382
274	6728.628303
275	6683.198734
276	6664.007048
277	6638.483644
