iter	Passed	Remaining
0	1	1969
1	4	2150
2	6	2120
3	8	2136
4	10	2153
5	12	2122
6	14	2092
7	16	2063
8	18	2048
9	20	2061
10	23	2080
11	25	2090
12	27	2093
13	29	2101
14	31	2087
15	33	2081
16	36	2090
17	38	2095
18	40	2090
19	42	2088
20	44	2081
21	46	2080
22	48	2077
23	51	2081
24	53	2080
25	55	2087
26	57	2084
27	60	2083
28	62	2082
29	64	2076
30	66	2071
31	68	2075
32	70	2073
33	71	2043
34	73	2032
35	75	2034
36	77	2026
37	79	2023
38	82	2022
39	84	2025
40	86	2026
41	88	2026
42	90	2022
43	92	2018
44	94	2014
45	96	2009
46	99	2007
47	101	2008
48	103	2005
49	105	2001
50	107	1999
51	109	1997
52	111	1997
53	114	2000
54	116	2002
55	118	2003
56	121	2006
57	123	2006
58	125	2002
59	127	1998
60	129	1996
61	132	1999
62	134	1997
63	136	1999
64	138	1995
65	140	1992
66	142	1989
67	144	1985
68	147	1984
69	149	1984
70	151	1982
71	153	1978
72	155	1975
73	157	1969
74	159	1966
75	161	1962
76	163	1959
77	165	1957
78	167	1954
79	169	1950
80	171	1946
81	173	1944
82	175	1942
83	178	1941
84	180	1940
85	182	1939
86	184	1937
87	186	1936
88	188	1932
89	190	1928
90	192	1924
91	194	1921
92	196	1920
93	199	1919
94	201	1917
95	203	1914
96	205	1911
97	207	1907
98	209	1904
99	211	1905
100	213	1903
101	215	1899
102	218	1898
103	219	1894
104	221	1890
105	223	1888
106	225	1885
107	228	1886
108	230	1885
109	232	1883
110	234	1880
111	236	1878
112	239	1876
113	241	1873
114	243	1873
115	245	1870
116	247	1867
117	249	1865
118	251	1862
119	253	1859
120	255	1857
121	257	1855
122	260	1853
123	262	1852
124	264	1849
125	266	1848
126	268	1847
127	270	1845
128	273	1845
129	275	1845
130	278	1845
131	280	1843
132	282	1841
133	284	1839
134	286	1837
135	288	1835
136	291	1835
137	293	1833
138	295	1831
139	297	1829
140	299	1826
141	301	1823
142	303	1821
143	306	1819
144	308	1818
145	310	1817
146	312	1814
147	314	1813
148	317	1810
149	319	1809
150	321	1807
151	323	1805
152	325	1803
153	328	1802
154	330	1799
155	332	1796
156	334	1794
157	336	1791
158	338	1789
159	340	1788
160	342	1786
161	344	1784
162	347	1782
163	349	1779
164	351	1776
165	353	1774
166	355	1772
167	357	1770
168	359	1768
169	361	1766
170	363	1763
171	365	1761
172	367	1758
173	369	1756
174	372	1754
175	374	1752
176	376	1749
177	378	1746
178	380	1744
179	382	1741
180	384	1740
181	386	1739
182	389	1737
183	391	1738
184	394	1736
185	396	1735
186	399	1735
187	401	1733
188	404	1733
189	406	1734
190	408	1732
191	411	1730
192	413	1728
193	415	1726
194	417	1724
195	420	1723
196	422	1721
197	424	1719
198	426	1717
199	429	1716
200	431	1714
201	433	1711
202	435	1710
203	437	1708
204	440	1706
205	442	1703
206	444	1701
207	446	1698
208	448	1695
209	450	1693
210	452	1692
211	454	1689
212	456	1686
213	458	1684
214	460	1681
215	462	1679
216	464	1676
217	466	1674
218	468	1672
219	471	1671
220	473	1669
221	475	1666
222	477	1663
223	479	1661
224	481	1659
225	484	1658
226	486	1656
227	488	1654
228	490	1652
229	493	1651
230	495	1650
231	498	1649
232	500	1647
233	502	1645
234	505	1644
235	507	1642
236	509	1640
237	511	1637
238	513	1635
239	515	1633
240	518	1631
241	520	1629
242	522	1626
243	524	1623
244	526	1622
245	528	1619
246	530	1618
247	533	1616
248	535	1614
249	537	1611
250	539	1609
251	541	1606
252	543	1604
253	545	1601
254	547	1599
255	549	1597
256	551	1594
257	553	1592
258	556	1591
259	558	1588
260	560	1586
261	562	1584
262	564	1581
263	566	1579
264	568	1576
265	570	1574
266	572	1571
267	574	1568
268	576	1566
269	579	1565
270	581	1563
271	583	1561
272	585	1560
273	588	1560
274	591	1559
275	594	1558
276	596	1556
277	598	1554
